Jenjang	Sekolah	Kecematan	< 7	7-12	> 12	< 13	13-15	>15	<16	16-18	>18	
SD	SD NEGERI 262 TANAH LEMO	Kec. Bontobahari	7	101	1	-	-	-	-	-	-	
SD	SD NEGERI 150 UPASAYA	Kec. Bontotiro	7	87	1	-	-	-	-	-	-	
SD	SD NEGERI 326 BAMPANG	Kec. Ujung Loe	8	83	2	-	-	-	-	-	-	
SD	SD NEGERI 124 BATUASANG	Kec. Herlang	0	90	5	-	-	-	-	-	-	
SD	SD NEGERI 202 BALLEANGING	Kec. Ujung Loe	0	114	16	-	-	-	-	-	-	
SD	SD NEGERI 33 BARABBA	Kec. Gantarang	7	104	1	-	-	-	-	-	-	
SD	SD NEGERI 249 DALOBA	Kec. Kajang	3	157	8	-	-	-	-	-	-	
SD	SD NEGERI 167 KASUSO	Kec. Bontobahari	13	105	2	-	-	-	-	-	-	
SD	SD NEGERI 164 ARA	Kec. Bontobahari	2	25	0	-	-	-	-	-	-	
SD	SD NEGERI 56 BALANGDIDI	Kec. Kindang	15	104	0	-	-	-	-	-	-	
SD	SD NEGERI 105 SANGKALA	Kec. Kajang	37	229	3	-	-	-	-	-	-	
SD	SD NEGERI 171 LOKA	Kec. Ujung Bulu	38	328	4	-	-	-	-	-	-	
SD	SD NEGERI 41 MATEKKO	Kec. Gantarang	28	345	17	-	-	-	-	-	-	
SD	SD NEGERI 31 BONTOMACINNA	Kec. Gantarang	34	351	10	-	-	-	-	-	-	
SD	SD NEGERI 57 ORO	Kec. Kindang	9	104	3	-	-	-	-	-	-	
SD	SD NEGERI 296 TAMATTO	Kec. Ujung Loe	6	50	2	-	-	-	-	-	-	
SD	SD NEGERI TERPENCIL 350 KAHAYA	Kec. Kindang	4	108	17	-	-	-	-	-	-	
SD	SD NEGERI 15 MANJALLING	Kec. Ujung Loe	11	117	6	-	-	-	-	-	-	
SD	SDN 337 MALLOMBONG	Kec. Kajang	11	104	5	-	-	-	-	-	-	
SD	SD NEGERI 265 BINTARORE	Kec. Ujung Bulu	15	140	5	-	-	-	-	-	-	
SD	SD NEGERI 151 TIMBULA	Kec. Bontotiro	10	116	4	-	-	-	-	-	-	
SD	SD NEGERI 59 TANETE	Kec. Bulukumpa	0	145	6	-	-	-	-	-	-	
SD	SD NEGERI 252 SAPIRI	Kec. Kajang	0	90	7	-	-	-	-	-	-	
SD	SD NEGERI 256 KAJANG-KAJANG	Kec. Herlang	0	55	4	-	-	-	-	-	-	
SD	SD NEGERI 62 WAEPEJJE	Kec. Bulukumpa	13	110	0	-	-	-	-	-	-	
SD	SD NEGERI 223 GARANTA	Kec. Ujung Loe	12	194	3	-	-	-	-	-	-	
SD	SD NEGERI 270 DANNUANG	Kec. Ujung Loe	9	136	7	-	-	-	-	-	-	
SD	SD NEGERI 129 BONTOSUKA	Kec. Herlang	0	70	13	-	-	-	-	-	-	
SD	SD NEGERI 165 BIRA		0	90	6	-	-	-	-	-	-	
SD	SD NEGERI 343 TUGONDENG	Kec. Herlang	0	63	6	-	-	-	-	-	-	
SD	SD NEGERI 213 HULO	Kec. Bulukumpa	12	89	3	-	-	-	-	-	-	
SD	SD NEGERI 48 GANTING.	Kec. Kindang	5	104	1	-	-	-	-	-	-	
SD	SD NEGERI 286 MALLOMBONG	Kec. Herlang	4	77	0	-	-	-	-	-	-	
SD	SD NEGERI 35 BONTO SUNGGU	Kec. Gantarang	7	108	3	-	-	-	-	-	-	
SD	SD NEGERI 198 BIRA	Kec. Bontobahari	18	136	4	-	-	-	-	-	-	
SD	SD NEGERI 242 GALUNG BODDONG	Kec. Rilau Ale	11	121	1	-	-	-	-	-	-	
SD	SD NEGERI 192 TANAHTOWA	Kec. Kajang	3	240	31	-	-	-	-	-	-	
SD	SD NEGERI 194 MACINNA	Kec. Herlang	5	102	5	-	-	-	-	-	-	
SD	SD NEGERI 212 BONTOBANGUN	Kec. Rilau Ale	14	120	8	-	-	-	-	-	-	
SD	SD NEGERI 188 BONTO BULAENG	Kec. Bulukumpa	13	108	5	-	-	-	-	-	-	
SD	SD NEGERI 302 LATTAE	Kec. Kindang	8	77	0	-	-	-	-	-	-	
SD	SD NEGERI 110 BUNJA	Kec. Kajang	3	106	8	-	-	-	-	-	-	
SD	SD NEGERI 184 PALAMBARAE	Kec. Gantarang	23	195	4	-	-	-	-	-	-	
SD	SD ISLAM TERPADU WAHDAH ISLAMIYAH BULUKUMBA	Kec. Ujung Bulu	31	208	1	-	-	-	-	-	-	
SD	SD NEGERI 169 TOKALA	Kec. Bontobahari	0	76	11	-	-	-	-	-	-	
SD	SD NEGERI 238 MATTOANGING	Kec. Bulukumpa	0	57	4	-	-	-	-	-	-	
SD	SD NEGERI 331 BORONG TELLU	Kec. Gantarang	1	111	17	-	-	-	-	-	-	
SD	SD NEGERI 139 LAMANDA	Kec. Bontotiro	10	85	3	-	-	-	-	-	-	
SD	SD NEGERI 208 KINDANG	Kec. Kindang	8	122	5	-	-	-	-	-	-	
SD	SD NEGERI 112 BARANG	Kec. Kajang	3	88	10	-	-	-	-	-	-	
SD	SD NEGERI 224 GARANTA	Kec. Ujung Loe	1	141	10	-	-	-	-	-	-	
SD	SD NEGERI 291 LOBI	Kec. Bontotiro	6	58	1	-	-	-	-	-	-	
SD	SD NEGERI 47 ANRIHUA.	Kec. Kindang	12	97	1	-	-	-	-	-	-	
SD	SD NEGERI 322 ELA-ELA	Kec. Ujung Bulu	13	107	6	-	-	-	-	-	-	
SD	SD NEGERI 335 KACIBO	Kec. Rilau Ale	13	68	3	-	-	-	-	-	-	
SD	SD NEGERI 341 BATU	Kec. Herlang	0	52	5	-	-	-	-	-	-	
