Jenjang,Sekolah,Laki-laki,Perempuan
SD,SD NEGERI 47 ANRIHUA.,68,55
SD,SD NEGERI 318 KARRINGA,33,37
SD,SD NEGERI 269 BALLEANGING,97,58
SD,SD NEGERI 101 KAJANG II,102,99
SD,SD NEGERI 225 ALLU,64,59
SD,SD NEGERI 36 BONTOSUNGGU,42,51
SD,SD NEGERI 305 TA GENTUNG,29,26
SD,SD NEGERI 177 BATUASANG,45,44
SD,SD NEGERI 183 GARANTA,98,97
SD,SD NEGERI 66 BALANGRIRI,50,54
SD,SD NEGERI 79 LAJAE,69,87
SD,SD NEGERI 261 BILAMPOROA,29,36
SD,SD NEGERI 84 PANGI,59,61
SD,SD NEGERI 34 BIALO,63,44
SD,SD NEGERI 133 HILA,26,41
SD,SD NEGERI 349 MAMPUA,24,30
SD,SD NEGERI 146 MATTOANGIN,51,54
SD,SD NEGERI 16 ULUTEDONG,154,146
SD,SD NEGERI 29 BONTOMACINNA,93,87
SD,SD NEGERI 80 BULUKUMPA,94,72
SD,SD NEGERI 61 BALLEANGING,65,44
SD,SD NEGERI 106 LABOJO,48,42
SD,SD NEGERI 82 PALAMPANG,75,72
SD,SD NEGERI 3 KASIMPURENG,271,260
SD,SD NEGERI 160TARAMPANG,121,122
SD,SD NEGERI 221 TANAHKONGKONG,250,229
SD,SD NEGERI 136 SALOBUNDANG,51,42
SD,SD NEGERI 92 PANGALLOANG,49,66
SD,SD NEGERI 248 LAIKANG,38,44
SD,SD NEGERI 298 CABALU,44,59
SD,SD NEGERI 14 BABANA,168,141
SD,SD NEGERI 11 KALUMEME,149,132
SD,SD NEGERI 304 BATUHULANG,47,41
SD,SD NEGERI 69 ANNISIA,46,49
SD,SD NEGERI 170 LIUKANG LOE,41,39
SD,SD NEGERI 68 TIBONA,86,69
SD,SD NEGERI 240 HARUE,31,35
SD,SD NEGERI 259 SAMBOANG,28,26
SD,SD NEGERI 273 BORONGRAPPOA,58,58
SD,SD NEGERI 232 DAMPANG,61,59
SD,SD NEGERI 344 ALORANG,46,31
SD,SD NEGERI 289 TALUMAYA,32,29
SD,SD NEGERI NO 93 MARANA,27,36
SD,SD NEGERI 96 GALUNG BODDONG,19,17
SD,SD NEGERI 303 PALIPUNGANG,28,39
SD,SD NEGERI 237 LEMBANG,65,68
SD,SD NEGERI 317 BORONG,15,23
SD,SD NEGERI 140 KALERASANG,22,25
SD,SD NEGERI 12 BABANA,66,65
SD,SD NEGERI 119 KARASSING,57,59
SD,SD NEGERI 322 ELA,65,54
SD,SD NEGERI 174 ANRIHUA,93,81
SD,SD NEGERI 314 MARANA,34,38
SD,SD NEGERI 197 SAPOLOHE,123,121
SD,SD NEGERI 299 BONTO MACINNA,65,52
SD,SD NEGERI 166 BIRA,51,43
SD,SD NEGERI 102 LAIKANG,28,48
SD,SD NEGERI 292 BIRA,23,22
SD,SD NEGERI 28 BONTOMACINNA,35,35
SD,SD NEGERI 308 BUNGAYA,26,15
SD,SD NEGERI 278 PAKOMBONG,71,69
SD,SD NEGERI 125 SALIBANG,43,34
SD,SD NEGERI 156 KALUKUBODO,43,25
SD,SD NEGERI 43 MATTIROWALIE.,99,96
SD,SD NEGERI 189 BARUGAE,136,117
SD,SD NEGERI 37 PALAMBARAE,146,121
SD,SD NEGERI 231 BONTONYELENG,25,23
SD,SD NEGERI 54 CAMPAGA,69,60
SD,SD NEGERI 275 GATTARENG,27,30
SD,SD NEGERI 214 LOLISANG,87,87
SD,SD NEGERI NO 279 TALLE,67,77
SD,SD NEGERI 272 BALLEANGING,99,97
SD,SD NEGERI 330 RAOE,43,41
SD,SD NEGERI 230 PALAMBARAE,168,139
SD,SD NEGERI 121 EREINUNG,27,16
SD,SD NEGERI 333 TIBONA,32,50
SD,SD NEGERI 217 KARASSING,41,43
SD,SD NEGERI 49 BORONGRAPPOA.,76,97
SD,SD NEGERI 268 JANNAKEKE,25,21
SD,SD NEGERI 229 GATTARENG,61,57
SD,SD NEGERI 32 BARABBA,67,77
SD,SD NEGERI 114 MALLELENG,56,45
SD,SD NEGERI 75 PETTUNGE,34,42
SD,SD NEGERI 316 LASSANRU,64,57
SD,SD NEGERI 78 BONTOA,52,45
SD,SD NEGERI 115 BALAGANA,123,105
SD,SD NEGERI 204 GATTARENG,60,42
SD,SD NEGERI 155 TANAH BERU,93,119
SD,SD NEGERI 207 DAMPANG,43,45
SD,SD NEGERI 71 BARUGAE,45,47
SD,SD NEGERI 243 ELLEE,78,83
SD,SD NEGERI 8 NIPA,73,67
SD,SD NEGERI 285 DASSA,51,51
SD,SD NEGERI 89 BATU KAROPA,61,79
SD,SD NEGERI 338 JAMPANG,77,58
SD,SD NEGERI 77 BONTOBAJU,24,27
SD,SD NEGERI 235 BORONGRAPPOA,27,26
SD,SD NEGERI 55 CIBOLLO,62,62
SD,SD NEGERI 205 BONTOSUNGGU,77,85
SD,SD NEGERI 193 TANUNTUNG,59,56
SD,SD NEGERI 348 DOAJANG,82,98
SD,SD NEGERI 195 EKATIRO,29,27
SLB,SLBS ABCD DARMAWANITA HERLANG,30,23
SLB,SLB NEGERI BULUKUMBA,56,37
