Jenjang,Sekolah,Kecematan,1,2,3,4,5,6,7,8,9,10,11,12,13
SD,SD NEGERI 256 KAJANG,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 162 ARA,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 153 TOMBOLO,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 100 CENTRE KAJANG,Kec. Kajang,2,1,1,1,1,2,-,-,-,-,-,-,-
SD,SD NEGERI 181 TANAHKONGKONG,Kec. Ujung Bulu,1,2,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 118 LEMBANG TUMBU,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 103 KALIMPORO,Kec. Kajang,1,1,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 260 EREKEKE,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 276 CAMPULEA,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 228 GATTARENG,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 143 PARA,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 315 KAROSI,Kec. Herlang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 329 PALAMBARAE,Kec. Gantarang,1,2,1,2,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 53 PABBAMBAENG.,Kec. Kindang,1,1,2,1,2,2,-,-,-,-,-,-,-
SD,SD NEGERI 300 BONTO TANAE,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 95 BONTOBULAENG,Kec. Bulukumpa,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 20 MANYAMPA,Kec. Ujung Loe,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 179 TANAH BERU,Kec. Bontobahari,2,2,2,2,1,2,-,-,-,-,-,-,-
SD,SD NEGERI 104 JANNAYA,Kec. Kajang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 219 ARA,Kec. Bontobahari,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 13 SALEMBA,Kec. Ujung Loe,1,1,1,1,2,1,-,-,-,-,-,-,-
SD,SD NEGERI 306 MARANA,Kec. Rilau Ale,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 236 KINDANG,Kec. Kindang,1,1,1,1,1,1,-,-,-,-,-,-,-
SD,SD NEGERI 134 KALUMPANG,Kec. Bontotiro,1,1,1,1,1,1,-,-,-,-,-,-,-
