sekolah,laki-laki,perempuan
SMP NEGERI 30 BULUKUMBA,143,161
SMP NEGERI 31 BULUKUMBA,108,108
SMP NEGERI 32 BULUKUMBA,307,345
SMP NEGERI 33 BULUKUMBA,136,126
SMP NEGERI 34 BULUKUMBA,157,143
SMP NEGERI 35 BULUKUMBA,58,71
SMP NEGERI 36 BULUKUMBA,92,113
SMP NEGERI 37 BULUKUMBA,103,120
SMP NEGERI 38 BULUKUMBA,54,61
SMP NEGERI 39 BULUKUMBA,296,315
SMP NEGERI 4 BULUKUMBA,311,347
SMP NEGERI 40 BULUKUMBA,350,412
SMP NEGERI 41 BULUKUMBA ,180,154
SMP NEGERI 42 BULUKUMBA,62,67
SMP NEGERI 43 BULUKUMBA,69,72
SMP NEGERI 44 BULUKUMBA,87,79
SMP NEGERI 47 BULUKUMBA,64,36
SMP NEGERI 48 BULUKUMBA,35,37
SMP NEGERI 5 BULUKUMBA,168,179
SMP NEGERI 6 BULUKUMBA,85,97
SMP NEGERI 7 BULUKUMBA,107,109
SMP NEGERI 8 BULUKUMBA ,89,122
SMP NEGERI 9 BULUKUMBA ,132,166
SMP NEGERI SATAP 1 BULUKUMBA,51,68
SMP NEGERI SATAP 10 BULUKUMBA ,24,18
SMP NEGERI SATAP 11 BULUKUMBA,12,39
SMP NEGERI SATAP 12 BULUKUMBA ,5,10
SMP NEGERI SATAP 13 BULUKUMBA,14,18
SMP NEGERI SATAP 14 BULUKUMBA,31,43
SMP NEGERI SATAP 15 BULUKUMBA,32,39
SMP NEGERI SATAP 2 BULUKUMBA,34,18
SMP NEGERI SATAP 3 BULUKUMBA ,40,30
SMP NEGERI SATAP 4 BULUKUMBA ,24,28
SMP NEGERI SATAP 5 BULUKUMBA,46,42
SMP NEGERI SATAP 6 BULUKUMBA,26,18
SMP NEGERI SATAP 7 BULUKUMBA,12,20
SMP NEGERI SATAP 8 BULUKUMBA,40,38
SMP NEGERI SATAP 9 BULUKUMBA,33,29
SMP PGRI BULUKUMBA,28,4
SMPN 46 BULUKUMBA,42,36
SMPN SATAP 18 BULUKUMBA,66,43
SMPN TERBUKA BULUKUMPA 1,,
SMPS AS SALAM JONJORO,40,26
